url_path,views_total,views_unique
/AlexanderGetka-cbica/niCHARTPipelines/tree/github-repo-stats/AlexanderGetka-cbica/niCHARTPipelines,3,1
/AlexanderGetka-cbica/niCHARTPipelines/tree/github-repo-stats/AlexanderGetka-cbica/niCHARTPipelines/latest-report,3,1
/AlexanderGetka-cbica/niCHARTPipelines/blob/github-repo-stats/AlexanderGetka-cbica/niCHARTPipelines/latest-report/report.pdf,2,1
/AlexanderGetka-cbica/niCHARTPipelines/branches,2,1
/AlexanderGetka-cbica/niCHARTPipelines,1,1
/AlexanderGetka-cbica/niCHARTPipelines/commit/f5b7ed54aa2a7fe4ec71a1f4c0581e1294411e2a,1,1
/AlexanderGetka-cbica/niCHARTPipelines/tree/github-repo-stats,1,1
